TrueDiameter,PredictedDiameter
29,28.88
32,31.29
35,33.10
38,36.03
41,39.07
44,44.00
29,29.52
32,31.48
35,33.00
38,36.00
41,39.00
44,43.00
29,28.88
32,31.29
35,34.40
38,35.11
41,40.02
44,42.00
29,28.99
32,31.29
35,34.01
38,37.19
41,40.00
44,43.00
29,30.40
32,32.47
35,36.03
38,35.85
41,40.02
44,43.00
29,30.56
32,33.09
35,34.40
38,38.41
41,41.65
44,44.50
29,30.56
32,33.27
35,36.96
38,37.89
41,41.65
44,43.55
29,30.40
32,34.19
35,36.03
38,38.13
41,40.02
44,43.00
29,30.56
32,31.42
35,35.08
38,36.25
41,40.69
44,43.53
29,30.04
32,33.27
35,35.08
38,37.86
41,40.77
44,44.58
